copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, copd_me_1_no_3_11_7_13, hypertens_me_1_no_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, respirtry_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, area_name, arthritis_me_1_no_3_11_7_13, respirtry_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, hg_choles_me_1_no_3_11_7_13, circ_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, diabetes_me_1_no_3_11_7_13, asthma_me_1_no_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, circ_me_1_no_3_11_7_13, musculo_me_2_rate_3_11_7_13, musculo_me_1_no_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13
3.0,12.72178933752,3.0,23190,11.5708639180746,455.077486032926,2206.45749493119,3.0,6010.25199045252,1125.59705063456,33.4199391621768,14.4309646233943,3.66798730443512,3.0,3.0,"Horsham (RC)",3317.13556702335,30.9329775021884,15.0749668633481,9.82249675368478,17.5799146389595,1353.64303067721,3.0,5072.18218878311,3.0,3.0,3.0,620.773194976861,2819.93991922586,2479.24008131177,13.8867456953082,3775.25519294996,28.1663130315664,5851.96815165861,3.0,3.0,2.14832951021047,3.0
3.0,12.3037406736652,3.0,23270,8.99453629468265,2925.88316993901,14726.9037516373,3.0,47668.5271962347,7877.85338086572,32.0879817901937,10.0862333624151,7.25704608231097,3.0,3.0,"Hume (C)",21903.4981942647,27.0514568524867,15.1408289763345,10.4790236754544,16.5877645126343,13533.4714096709,3.0,40893.9414677103,3.0,3.0,3.0,8127.60500903107,17901.0019658196,21411.3247905366,15.6229561799326,23407.3385230784,27.8495572953819,43556.6821046554,3.0,3.0,1.89165741650565,3.0
3.0,12.0678808682937,3.0,23350,11.2253442444041,345.426447036906,1829.0770392981,3.0,5178.67258430156,883.468390159357,34.3790653635578,10.9310940315885,3.55543894675424,3.0,3.0,"Indigo (S)",2606.56718211905,33.7512191162153,14.0871278561666,9.79446676274319,16.8459520385554,1005.30347127887,3.0,4394.92487334822,3.0,3.0,3.0,510.800515237149,1672.64977603963,1888.77186143823,12.9929393504692,2975.10197283164,27.507268695796,4709.73314478446,3.0,3.0,1.99298020060313,3.0
3.0,12.3907815917918,3.0,23430,11.2569947370037,2795.4802066,16039.6495009,3.0,49609.6839224,8330.9941354,33.401609176642,10.6325056286736,4.18524997243482,3.0,3.0,"Kingston (C)",21165.3022125,33.1266410616535,13.324770067568,9.99353404844387,16.4349645900524,10316.2123931,3.0,39663.6973521,3.0,3.0,3.0,5128.9477235,15800.4240118,18647.2065285,13.4862065522225,25517.4407438,26.453741745423,41341.9381128,3.0,3.0,1.80258191863811,3.0
3.0,12.0704018296385,3.0,23670,10.7719609452661,2732.79633706836,15557.909364514,3.0,46504.6113716353,8453.67698619433,33.3860264708639,10.6679277319939,4.01547601552657,3.0,3.0,"Knox (C)",20189.2984270887,29.5999649158951,12.9286558657881,10.0342247614255,16.4508773576529,10660.2413282659,3.0,41028.4296300597,3.0,3.0,3.0,4825.96174891509,16682.8049900307,19113.9183144602,13.3467531885103,24873.2007535045,25.8934993454561,40633.3006726757,3.0,3.0,1.75834661996825,3.0
3.0,15.2150346594659,3.0,23810,12.3360307784586,1737.82555083306,7925.4661093443,3.0,22267.3404457782,4542.39836742727,33.3441543280253,13.7401872905543,4.35690275196124,3.0,3.0,"Latrobe (C)",12665.4325146002,30.2099626041114,16.0113165450219,9.94383533035307,17.1157731401558,6710.00984354069,3.0,19096.1783067295,3.0,3.0,3.0,2658.49624343972,10175.6898492312,11252.408210968,18.0692591508438,13129.6763156482,28.0479863042699,21415.2672637916,3.0,3.0,2.24012098314415,3.0
1.0,14.4217487214672,3.0,23940,12.5547510279156,205.856746686236,1078.10733627707,3.0,2291.09354512827,504.333571624063,35.9183148004656,11.7014431095868,3.99831231292616,3.0,3.0,"Loddon (S)",1854.1542695843,30.2701758072444,17.1354664100627,9.66376585183556,17.3653081590308,613.321902848888,3.0,2363.45267689357,3.0,3.0,3.0,336.36779173372,885.337505777144,1117.65547447295,16.6411192473299,1800.0361580835,28.6057330011695,2698.15438636355,3.0,3.0,2.10688793806474,3.0
3.0,11.9829747311458,3.0,24130,10.4585676195745,840.023054469395,4563.95935983167,3.0,13199.0368243906,2311.05989564499,34.4330924159142,13.0833297750767,3.31881767830827,3.0,3.0,"Macedon Ranges (S)",6198.9273081601,30.5040994077213,13.5041319103151,9.97829135153644,15.59564178361,2930.01799245606,3.0,11872.0649367839,3.0,3.0,3.0,1188.39841852082,5646.42000015808,5241.07788810105,13.475166299494,6860.63954764603,26.8063215294996,11954.6982590116,3.0,3.0,1.88028752546947,3.0
3.0,11.3314867049212,3.0,24210,10.2122019093431,2079.32919756548,13880.9682804757,3.0,32987.7384203574,5944.40812706464,33.2161975186825,9.80929310255753,4.25504822093358,3.0,3.0,"Manningham (C)",17666.2523304912,27.7393116834174,12.558651588387,9.67673065378722,16.0237517993599,7671.42690789014,3.0,31876.8758956827,3.0,3.0,3.0,4666.50451932193,11574.5035058161,13615.8350349548,12.4050749937342,21832.6358211036,24.2440594767861,31943.9106616438,3.0,3.0,1.56155300752523,3.0
3.0,12.3856429957268,3.0,22310,11.5646969519184,2181.9154141,13893.6876857,3.0,38123.0373893,7807.1381516,32.5424647091823,9.31406974215331,4.04698109985756,3.0,3.0,"Glen Eira (C)",17085.9870509,27.8079674206238,12.4890129513152,10.0727693463354,15.9348071023218,9215.6687516,3.0,34550.6763935,3.0,3.0,3.0,4205.7877249,12696.7640999,17022.8069032,13.186120559668,21519.1550379,25.8568947941512,35706.2231099,3.0,3.0,1.5960039721582,3.0
